"Observations","Time.Spent.at.DentMax.Booth","Time.Spent.at.DentMed.OxyMax.Booth","Total.Time.spent.at.show","X..Buying.from.DentMax.in.the.past","Historical.Sales.Index","Sales.Frequency","Length.of.Relationship","Number.of.Referrals.Offered","Importance.of.Image.Quality","Importance.of.Diagnostic.Flexibility","Importance.of.Software.Intergation","Importance.of.Technical.Assistance","Importance.of.Price","Trust.in.TV.ads","Trust.in.Radio.Ads","Trust.in.Internet.Ads","Trust.in.Dental.Magazine.Ads","Trust.in.Peers"
"Respondent 587","12","22","150","32","20","3","4","1","5","5","5","6","7","5","4","4","5","5"
"Respondent 588","37","78","180","45","63","5","9","3","6","6","6","6","6","4","5","6","6","7"
"Respondent 589","5","11","60","6","9","1","9","0","3","4","4","7","7","4","4","3","4","5"
"Respondent 590","7","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 591","5","11","61","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 592","36","78","180","46","64","5","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 593","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 594","13","21","150","32","21","3","4","0","5","5","5","6","6","5","4","4","6","6"
"Respondent 595","6","11","60","7","10","1","9","0","4","4","4","7","7","4","3","3","4","6"
"Respondent 596","12","20","150","33","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 597","12","21","150","31","20","3","5","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 598","7","11","61","7","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 599","12","21","151","32","21","3","4","1","5","5","5","6","6","5","4","4","6","6"
"Respondent 600","7","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","6"
"Respondent 601","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 602","35","78","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 603","6","11","59","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 604","45","27","130","100","58","6","8","12","7","7","4","5","4","5","4","3","6","6"
"Respondent 605","7","11","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 606","35","78","180","45","63","5","9","2","6","5","6","5","6","4","5","6","6","7"
"Respondent 607","36","78","180","45","64","4","9","2","6","6","7","6","6","4","4","6","6","7"
"Respondent 608","36","78","180","44","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 609","44","26","130","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 610","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 611","36","78","180","44","63","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 612","6","11","61","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 613","36","78","181","45","64","4","9","2","6","6","6","6","6","5","5","6","5","7"
"Respondent 614","6","11","59","6","10","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 615","12","21","150","31","20","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 616","45","26","130","100","58","6","9","12","7","7","5","6","4","5","4","4","7","6"
"Respondent 617","12","20","150","32","20","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 618","12","20","151","32","21","3","4","0","5","5","5","6","6","5","4","3","5","6"
"Respondent 619","36","78","181","45","64","4","9","3","6","5","6","6","6","4","5","6","6","7"
"Respondent 620","36","78","179","45","65","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 621","45","26","130","100","58","6","8","12","7","7","4","5","4","5","4","4","6","6"
"Respondent 622","36","78","180","45","64","4","8","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 623","12","22","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 624","45","26","130","100","58","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 625","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 626","45","26","130","100","57","6","8","12","7","7","4","6","5","5","4","4","7","6"
"Respondent 627","12","20","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 628","45","26","130","100","58","6","8","12","7","7","5","6","5","5","4","4","7","6"
"Respondent 629","45","26","131","100","58","6","8","12","6","7","4","6","4","5","4","3","6","6"
"Respondent 630","7","11","60","5","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 631","12","21","150","31","21","3","4","0","5","5","5","6","6","5","4","4","5","6"
"Respondent 632","12","21","150","31","21","3","5","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 633","11","21","149","32","20","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 634","12","20","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","5"
"Respondent 635","12","20","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 636","12","22","151","33","22","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 637","45","26","130","100","58","6","8","12","6","7","5","6","4","5","4","4","6","6"
"Respondent 638","12","21","150","32","22","3","4","0","5","5","5","6","7","4","5","4","5","5"
"Respondent 639","7","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 640","12","21","151","32","21","3","4","0","5","5","5","7","6","4","5","4","5","6"
"Respondent 641","12","21","151","32","21","3","4","0","5","5","5","6","7","4","4","4","6","6"
"Respondent 642","7","10","60","7","8","1","8","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 643","12","21","151","33","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 644","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 645","12","21","150","31","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 646","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 647","46","26","130","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 648","12","21","151","32","21","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 649","13","22","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 650","36","78","180","45","64","4","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 651","45","26","130","100","58","6","8","12","7","7","4","5","5","5","4","4","6","6"
"Respondent 652","12","21","151","32","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 653","12","21","150","31","21","3","4","0","5","5","5","6","7","4","4","4","6","5"
"Respondent 654","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 655","12","21","151","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 656","12","20","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 657","12","20","149","33","21","3","4","1","5","6","5","6","7","4","5","4","5","5"
"Respondent 658","12","21","150","33","20","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 659","12","21","149","32","21","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 660","11","21","150","32","22","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 661","45","26","130","100","58","6","8","12","7","7","5","5","5","5","4","4","6","6"
"Respondent 662","45","26","130","100","58","6","8","12","7","7","5","5","5","5","4","4","6","6"
"Respondent 663","13","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","5"
"Respondent 664","12","21","149","33","22","3","5","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 665","45","27","130","100","58","6","8","12","6","7","4","6","5","5","4","4","6","6"
"Respondent 666","45","26","130","100","58","6","8","12","7","7","5","5","4","5","4","3","6","6"
"Respondent 667","13","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 668","12","21","151","33","20","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 669","35","78","180","45","65","4","9","2","6","5","7","6","6","5","5","6","6","7"
"Respondent 670","12","21","150","32","21","3","5","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 671","45","26","130","100","58","6","8","12","7","6","4","6","4","5","4","3","6","6"
"Respondent 672","13","22","150","32","20","3","4","1","5","5","5","7","7","5","5","4","6","6"
"Respondent 673","6","12","60","7","9","1","9","0","4","4","4","7","7","4","4","3","4","6"
"Respondent 674","36","78","179","44","65","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 675","12","20","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 676","11","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 677","12","22","150","32","21","3","4","1","5","5","5","6","7","5","5","4","6","5"
"Respondent 678","13","20","150","33","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 679","12","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 680","12","21","150","33","22","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 681","6","10","60","5","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 682","13","21","151","33","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 683","12","22","150","32","21","3","4","1","5","5","5","6","7","5","5","4","6","6"
"Respondent 684","45","26","130","99","59","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 685","12","21","151","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 686","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 687","12","21","150","32","21","3","4","0","5","5","5","7","7","5","4","4","6","6"
"Respondent 688","36","78","180","44","64","5","8","2","6","5","6","6","6","5","4","6","6","7"
"Respondent 689","6","11","60","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 690","6","11","61","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 691","12","20","150","32","20","3","4","0","5","5","5","6","7","4","4","4","6","6"
"Respondent 692","11","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 693","44","26","130","100","57","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 694","12","21","150","32","22","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 695","36","79","179","44","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 696","45","25","130","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 697","12","21","150","33","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 698","45","26","129","100","58","6","8","12","6","7","4","6","4","5","5","4","7","6"
"Respondent 699","45","26","130","100","58","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 700","11","21","149","32","22","3","4","0","5","5","5","7","7","5","4","4","5","5"
"Respondent 701","12","20","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 702","36","78","180","46","64","4","9","2","6","6","6","6","6","5","5","6","6","6"
"Respondent 703","36","78","179","45","65","5","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 704","12","21","151","32","20","3","4","0","5","5","5","6","7","5","5","4","6","5"
"Respondent 705","36","79","180","44","64","4","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 706","45","26","130","101","58","6","8","12","6","7","4","5","5","5","4","4","7","6"
"Respondent 707","36","79","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 708","36","79","180","45","64","5","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 709","12","21","151","32","21","3","4","0","5","5","5","6","7","4","4","4","6","6"
"Respondent 710","36","78","181","45","64","4","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 711","11","21","150","32","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 712","36","79","180","45","64","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 713","12","21","151","32","21","3","4","1","5","5","5","6","7","4","5","4","6","6"
"Respondent 714","12","21","151","32","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 715","11","22","150","32","20","3","4","0","5","5","5","7","7","5","4","4","5","6"
"Respondent 716","36","78","180","45","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 717","6","11","59","6","10","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 718","6","12","60","6","8","1","8","0","4","4","4","7","7","3","3","3","4","5"
"Respondent 719","5","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 720","12","20","150","32","20","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 721","45","25","130","100","57","6","8","12","7","7","4","6","4","5","4","4","6","6"
"Respondent 722","6","11","61","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 723","6","10","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 724","12","21","150","32","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 725","45","26","130","100","59","6","8","12","7","7","4","5","5","5","4","4","6","6"
"Respondent 726","6","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 727","13","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","6","6"
"Respondent 728","11","21","149","31","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 729","45","26","131","100","58","6","8","12","7","7","4","6","4","5","4","3","6","6"
"Respondent 730","46","25","130","101","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 731","11","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 732","6","10","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","6"
"Respondent 733","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 734","6","11","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 735","6","11","60","5","10","1","8","0","4","4","4","7","7","4","4","3","4","6"
"Respondent 736","45","26","130","100","57","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 737","12","21","150","33","22","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 738","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 739","11","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","6","6"
"Respondent 740","11","22","150","32","21","3","4","1","5","6","5","6","6","5","5","4","5","6"
"Respondent 741","12","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","6","6"
"Respondent 742","12","21","150","31","22","3","4","0","5","5","5","6","7","5","5","4","5","5"
"Respondent 743","6","11","59","5","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 744","5","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 745","12","21","150","33","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 746","12","21","150","32","22","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 747","12","20","151","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 748","37","79","180","44","63","4","9","2","6","6","6","6","6","4","4","6","6","7"
"Respondent 749","12","21","151","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 750","6","11","61","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 751","11","22","150","32","22","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 752","12","21","150","32","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 753","12","21","150","33","21","3","4","1","5","5","5","6","7","5","4","3","5","6"
"Respondent 754","12","21","150","32","21","3","4","1","5","6","5","7","7","5","5","4","6","6"
"Respondent 755","13","21","150","33","20","3","4","0","5","5","5","6","6","5","4","4","6","6"
"Respondent 756","12","21","150","32","21","3","4","1","5","5","5","6","6","4","4","4","6","5"
"Respondent 757","45","26","130","99","58","6","8","12","7","7","4","5","4","5","4","4","6","6"
"Respondent 758","12","20","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 759","12","21","151","32","21","3","4","1","5","5","5","7","7","5","5","4","5","6"
"Respondent 760","11","22","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 761","6","12","60","5","8","1","8","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 762","5","11","59","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 763","11","21","150","32","21","3","4","1","5","5","5","6","6","5","4","4","5","6"
"Respondent 764","36","79","179","45","64","4","9","2","6","6","6","6","6","5","4","6","6","7"
"Respondent 765","36","78","180","44","63","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 766","12","21","149","32","22","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 767","6","11","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 768","36","78","180","45","64","5","9","2","6","6","6","6","6","4","5","6","6","7"
"Respondent 769","12","21","150","32","21","3","5","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 770","36","79","181","45","64","4","9","2","6","5","7","6","6","5","5","6","6","7"
"Respondent 771","12","21","150","32","21","3","4","1","5","5","5","7","6","5","4","4","5","6"
"Respondent 772","6","11","60","5","9","0","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 773","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 774","45","25","130","100","58","6","8","12","7","7","4","5","4","5","4","4","6","6"
"Respondent 775","13","20","151","32","21","3","4","0","5","5","5","6","7","5","4","4","5","5"
"Respondent 776","12","21","149","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 777","5","11","60","6","10","1","9","0","4","4","4","7","7","3","3","3","4","5"
"Respondent 778","36","78","180","44","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 779","36","79","180","45","65","5","9","2","6","6","6","6","6","5","5","6","6","7"
"Respondent 780","45","26","131","100","58","6","8","12","7","7","4","5","5","5","4","4","7","6"
"Respondent 781","11","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 782","35","78","180","45","63","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 783","36","78","180","45","64","5","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 784","44","27","130","100","58","6","8","12","7","7","4","5","4","5","4","3","7","6"
"Respondent 785","12","21","150","31","21","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 786","35","77","180","45","64","4","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 787","36","79","181","46","64","5","9","2","6","6","7","6","6","4","4","6","6","7"
"Respondent 788","12","21","150","33","21","3","5","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 789","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 790","12","21","149","32","21","3","4","1","5","5","5","6","7","5","4","4","6","5"
"Respondent 791","36","78","181","46","64","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 792","11","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 793","36","77","180","45","64","5","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 794","36","77","179","45","64","5","9","2","6","6","6","6","6","5","4","6","6","7"
"Respondent 795","12","21","150","33","22","3","4","0","5","5","5","6","6","5","4","4","5","6"
"Respondent 796","12","22","151","32","21","3","4","1","5","5","5","6","7","5","5","4","5","5"
"Respondent 797","36","77","180","45","63","4","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 798","45","26","130","100","58","6","8","12","6","7","4","6","5","5","4","4","7","6"
"Respondent 799","12","21","151","31","21","3","4","1","5","5","5","6","6","5","4","4","5","6"
"Respondent 800","6","11","60","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 801","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 802","13","22","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 803","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 804","45","25","130","100","58","6","8","12","6","7","4","6","5","5","4","4","7","6"
"Respondent 805","12","22","150","32","22","3","4","0","5","5","5","6","7","4","4","4","6","6"
"Respondent 806","45","27","131","100","58","6","8","12","6","7","5","5","4","5","4","4","6","6"
"Respondent 807","37","77","181","45","64","4","9","3","6","5","6","6","6","5","5","6","6","7"
"Respondent 808","13","21","151","32","21","3","4","0","5","5","5","6","6","5","4","4","5","6"
"Respondent 809","36","78","180","46","64","4","9","2","6","6","7","6","6","4","5","6","6","6"
"Respondent 810","45","27","130","100","57","6","8","12","7","7","4","6","4","5","4","3","6","6"
"Respondent 811","45","26","129","100","58","6","8","12","6","7","4","6","5","5","4","4","6","6"
"Respondent 812","12","20","150","32","22","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 813","13","21","150","32","20","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 814","12","21","151","32","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 815","12","21","150","32","20","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 816","12","20","149","32","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 817","6","11","59","5","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 818","45","26","130","100","58","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 819","45","26","130","100","58","6","8","12","7","7","4","6","5","5","4","4","6","6"
"Respondent 820","6","11","59","6","8","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 821","13","20","150","32","22","3","4","0","5","5","5","6","7","4","5","4","5","6"
"Respondent 822","12","21","151","31","20","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 823","45","27","131","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 824","45","26","129","100","58","6","8","12","7","7","5","6","4","5","4","4","6","6"
"Respondent 825","45","27","130","100","58","6","8","12","7","7","4","6","4","5","4","4","7","6"
"Respondent 826","13","21","150","33","21","3","4","0","5","5","5","6","7","5","4","4","6","6"
"Respondent 827","12","21","150","32","21","3","4","1","5","5","5","7","7","5","5","4","5","6"
"Respondent 828","35","78","180","46","63","4","9","2","6","5","6","6","6","5","5","6","6","7"
"Respondent 829","13","21","149","31","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 830","12","20","151","33","22","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 831","44","25","130","100","58","6","8","12","6","7","4","5","4","5","4","4","6","6"
"Respondent 832","13","21","150","33","22","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 833","6","11","60","7","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 834","36","78","180","45","64","4","9","3","6","6","6","6","6","4","5","6","6","7"
"Respondent 835","11","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 836","12","21","150","32","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 837","12","21","150","32","21","3","4","0","5","5","5","6","7","4","5","4","6","5"
"Respondent 838","12","21","150","32","21","3","4","1","5","5","5","6","7","4","5","4","6","5"
"Respondent 839","6","11","60","6","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 840","12","21","149","33","21","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 841","36","78","180","45","64","4","9","2","6","6","7","6","6","4","5","6","5","7"
"Respondent 842","13","21","150","33","21","3","4","0","5","5","5","6","7","4","4","4","5","5"
"Respondent 843","36","78","180","45","64","4","9","2","6","6","6","5","6","5","5","6","6","7"
"Respondent 844","35","79","180","45","65","4","9","2","6","5","6","6","6","4","4","6","6","7"
"Respondent 845","11","21","151","32","21","3","4","1","5","5","5","6","6","5","5","4","5","6"
"Respondent 846","12","21","149","33","21","3","4","1","5","5","5","7","7","4","4","4","5","6"
"Respondent 847","12","22","150","32","21","3","4","0","5","5","5","6","7","5","4","4","6","5"
"Respondent 848","12","20","150","32","21","3","4","1","5","5","5","6","6","4","5","4","5","6"
"Respondent 849","12","20","150","32","20","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 850","6","11","60","7","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 851","11","20","150","32","21","3","4","1","5","5","5","6","7","4","4","4","5","6"
"Respondent 852","12","21","150","32","22","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 853","12","20","150","32","20","3","4","0","5","5","5","7","7","4","4","4","5","6"
"Respondent 854","11","21","150","32","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 855","12","21","150","32","21","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 856","11","22","150","33","21","3","4","1","5","5","5","6","7","5","5","4","5","6"
"Respondent 857","6","11","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 858","6","11","60","5","10","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 859","12","21","150","32","21","3","4","0","5","5","5","7","7","5","5","4","6","6"
"Respondent 860","35","78","181","44","64","4","9","2","6","6","6","5","6","4","4","6","6","7"
"Respondent 861","13","21","149","32","21","3","4","1","5","5","5","6","7","4","5","4","5","6"
"Respondent 862","36","79","180","45","63","4","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 863","46","26","130","100","58","6","8","12","7","7","4","6","4","5","4","3","7","6"
"Respondent 864","12","21","149","31","21","3","4","0","5","5","5","6","7","4","4","4","5","6"
"Respondent 865","36","79","180","45","63","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 866","6","11","60","5","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 867","37","78","180","45","65","4","9","2","6","5","6","6","6","4","5","6","6","7"
"Respondent 868","6","11","60","6","9","1","8","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 869","12","21","150","32","21","3","4","0","5","5","5","6","7","5","4","4","5","6"
"Respondent 870","6","11","60","6","9","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 871","36","78","180","45","64","4","9","2","6","5","7","6","6","4","5","6","6","7"
"Respondent 872","6","11","60","6","9","1","9","0","4","4","4","7","7","4","4","3","4","5"
"Respondent 873","11","21","150","32","20","3","4","1","5","5","5","6","6","5","4","4","5","6"
"Respondent 874","6","11","60","5","9","1","9","0","3","4","4","7","7","4","4","3","4","5"
"Respondent 875","36","78","179","45","64","4","9","2","6","5","7","6","6","5","5","6","6","7"
"Respondent 876","6","12","60","6","8","1","9","0","4","4","4","7","7","4","3","3","4","5"
"Respondent 877","12","21","150","32","22","3","4","0","5","5","5","6","7","5","5","4","5","6"
"Respondent 878","12","21","150","32","21","3","4","1","5","5","5","6","7","5","4","4","5","6"
"Respondent 879","37","78","180","45","65","4","9","2","6","6","7","6","6","4","5","6","6","7"
"Respondent 880","44","26","130","100","59","6","8","12","7","7","4","5","5","5","4","4","6","6"
"Respondent 881","45","26","129","100","58","6","8","12","6","7","4","6","5","5","4","4","7","6"
"Respondent 882","45","25","130","100","57","6","8","12","7","6","4","6","4","5","4","4","7","6"
"Respondent 883","12","21","150","33","20","3","4","1","5","5","5","6","6","5","4","4","6","6"
"Respondent 884","11","20","150","32","22","3","4","0","5","5","5","6","7","4","4","4","6","5"
"Respondent 885","45","26","130","100","58","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 886","12","21","151","32","20","3","4","0","5","5","5","6","7","5","5","4","6","6"
"Respondent 887","13","20","150","32","21","3","4","1","5","5","5","6","7","4","4","4","6","5"
"Respondent 888","45","26","130","101","58","6","8","12","6","7","4","5","5","5","4","4","7","6"
"Respondent 889","12","21","150","32","21","3","4","1","5","5","5","6","6","5","5","4","5","6"
"Respondent 890","46","26","130","100","58","6","8","12","7","7","4","5","4","5","4","4","7","6"
"Respondent 891","12","21","150","31","21","3","4","1","5","5","5","6","7","5","5","4","5","5"
